MovieId,Actor
2,Kirsten Dunst
2,David Alan Grier
2,Bonnie Hunt
2,Robin Williams
2,Bebe Neuwirth
3,Sophia Loren
3,Daryl Hannah
3,Kevin Pollak
3,Walter Matthau
3,Ann-Margret
4,Angela Bassett
4,Lela Rochon
4,Whitney Houston
5,George Newbern
5,Kieran Culkin
5,Martin Short
5,Diane Keaton
5,Steve Martin
5,Kimberly Williams-Paisley
6,Amy Brenneman
6,Wes Studi
6,Diane Venora
6,Tom Sizemore
6,Robert De Niro
6,Val Kilmer
6,Ted Levine
6,Al Pacino
6,Jon Voight
6,Ashley Judd
10,Izabella Scorupco
10,Pierce Brosnan
10,Joe Don Baker
10,Famke Janssen
11,David Paymer
11,Michael J. Fox
11,Annette Bening
11,Michael Douglas
12,Amy Yasbeck
12,Leslie Nielsen
12,Mel Brooks
12,Lysette Anthony
12,Peter MacNicol
12,Harvey Korman
12,Lysette Anthony
12,Peter MacNicol
12,Harvey Korman
12,Mel Brooks
12,Leslie Nielsen
12,Amy Yasbeck
14,James Woods
14,Paul Sorvino
14,Joan Allen
14,David Hyde Pierce
14,Bob Hoskins
14,David Paymer
14,Ed Harris
14,Powers Boothe
14,Anthony Hopkins
15,Frank Langella
15,Matthew Modine
15,Geena Davis
15,Maury Chaykin
15,Patrick Malahide
17,Kate Winslet
17,Emma Thompson
17,Alan Rickman
17,Hugh Grant
18,Antonio Banderas
18,Lili Taylor
18,Tamlyn Tomita
18,Jennifer Beals
18,David Proval
18,Sammi Davis
18,Madonna
18,Ione Skye
18,Tamlyn Tomita
18,Jennifer Beals
18,Tim Roth
18,Sammi Davis
18,Antonio Banderas
18,Madonna
18,Ione Skye
18,David Proval
18,Jennifer Beals
18,Tim Roth
18,Lili Taylor
18,Antonio Banderas
18,Tim Roth
18,Ione Skye
18,Lili Taylor
18,Tamlyn Tomita
18,Madonna
18,David Proval
18,Sammi Davis
19,Jim Carrey
19,Maynard Eziashi
19,Bob Gunton
19,Simon Callow
21,Rene Russo
21,John Travolta
21,Gene Hackman
21,Danny DeVito
23,Sylvester Stallone
23,Antonio Banderas
23,Julianne Moore
25,Nicolas Cage
25,Elisabeth Shue
25,Nicolas Cage
25,Elisabeth Shue
26,Kenneth Branagh
26,Irène Jacob
28,Amanda Root
29,Rufus
29,Judith Vittet
29,Jean-Claude Dreyfus
29,Daniel Emilfork
29,Dominique Pinon
29,Serge Merlin
29,Ron Perlman
29,Jean-Louis Trintignant
29,Dominique Pinon
29,Serge Merlin
29,Ron Perlman
29,Jean-Louis Trintignant
29,Judith Vittet
29,Rufus
29,Jean-Claude Dreyfus
29,Daniel Emilfork
30,Gong Li
30,Li Baotian
30,Li Xuejian
30,Li Baotian
30,Li Xuejian
30,Gong Li
30,Li Baotian
30,Li Xuejian
30,Gong Li
30,Li Xuejian
30,Li Baotian
30,Gong Li
31,Michelle Pfeiffer
32,Brad Pitt
32,Bruce Willis
32,Madeleine Stowe
32,Christopher Plummer
33,Elizabeth McGovern
33,Val Kilmer
33,Tom Hulce
35,Samuel West
35,Penelope Wilton
35,Rufus Sewell
35,Emma Thompson
35,Steven Waddington
38,Jane Sibbett
38,Steve Guttenberg
38,Kirstie Alley
38,Mary-Kate and Ashley Olsen
38,Philip Bosco
40,Charles S. Dutton
40,James Earl Jones
41,Ian McKellen
41,Nigel Hawthorne
41,Robert Downey Jr.
41,Maggie Smith
41,Annette Bening
41,John Wood
41,James Broadbent
42,Keith David
42,N'Bushe Wright
42,Chris Tucker
42,Freddy Rodriguez
42,Bokeem Woodbine
42,Larenz Tate
42,Chris Tucker
42,N'Bushe Wright
42,Freddy Rodriguez
42,Bokeem Woodbine
42,Freddy Rodriguez
42,Bokeem Woodbine
42,Larenz Tate
42,Keith David
42,N'Bushe Wright
42,Keith David
42,Chris Tucker
42,Larenz Tate
46,Loren Dean
46,Ellen Burstyn
46,Derrick O'Connor
46,Winona Ryder
46,Kate Nelligan
46,Dermot Mulroney
46,Anne Bancroft
46,Alfre Woodard
46,Maya Angelou
46,Jean Simmons
48,Russell Means
48,Mel Gibson
48,Christian Bale
48,Irene Bedard
48,Billy Connolly
48,Frank Welker
48,David Ogden Stiers
48,Linda Hunt
48,Billy Connolly
48,Frank Welker
