MovieId,directorName
2,Joe Johnston
3,Howard Deutch
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
10,Martin Campbell
11,Robert Reiner
12,Mel Brooks
14,Oliver Stone
15,Renny Harlin
17,Ang Lee
18,Quentin Tarantino
19,Steve Oedekerk
21,Barry Sonnenfeld
23,Richard Donner
25,Mike Figgis biography and credits
26,Oliver Parker
28,Roger Michell
29,Marc Caro
30,Zhang Yimou
31,John N. Smith
32,Terry Gilliam
33,Jean-Jacques Annaud
35,Christopher Hampton
38,Andy Tennant
40,Darrell Roodt
41,Richard Loncraine
42,Albert Hughes
46,Jocelyn Moorhouse
48,Eric Goldberg
49,Patricia Rozema
50,Bryan Singer
52,Woody Allen
53,Gianni Amelio
54,Holly Goldberg Sloan
55,Ulu Grosbard
60,Frank Oz
61,John Schlesinger
62,Stephen Herek
63,Paris Barclay
64,Bill Bennett
65,Jason Bloom
66,Farhad Mann
67,James Foley
68,Josiane Balasko
69,F. Gary Gray
70,Robert Rodriguez
72,Noah Baumbach
74,Michael Goldenberg
75,Steve Miner
76,Christian Duguay
79,Brian Gibson
81,Gary Fleder
82,Marleen Gorris
84,Henry Jaglom
86,Ridley Scott
87,Ken Kwapis
88,Penelope Spheeris
89,John Badham
90,John Duigan
92,Stephen Frears
93,Wes Craven
94,Ted Demme
95,John Woo
96,Kenneth Branagh
101,Wes Anderson
102,Nick Castle
104,Dennis Dugan
105,Clint Eastwood
107,Brian Henson
110,Alan Hale Sr.
111,Chetan Anand
113,Barbet Schroeder
115,Ã‰tienne Chatiliez
116,Jon Blair
117,Benjamin Ross
118,Eric Schaeffer
119,Andrew Davis
122,Reginald Hudlin
125,David O. Russell
131,Michael Lindsay-Hogg
132,William Friedkin
135,David S. Ward
137,Dirk Shafer
138,Terence Davies biography and filmography
141,Mike Nichols
143,Jakov Sedlar
144,Edward Burns
146,Christopher Cain
147,Scott Kalvert
148,Mike Newell
150,Ron Howard
153,Joel Schumacher
154,Luis BuÃ±uel
155,John Boorman
156,Paul Auster
157,Michael Moore
158,Brad Silberling
159,Spike Lee
161,Tony Scott
162,Terry Zwigoff
163,Robert Rodriguez
164,Carl Franklin
165,John McTiernan
166,Gregg Araki
167,Christopher Menaul
168,Jerry Zucker
170,Iain Softley
172,Robert Longo
173,Danny Cannon
174,John Fortenberry
175,Larry Clark
176,Tom DiCillo
177,Clive Barker
178,Denys Arcand
179,Antonia Bird
180,Kevin Smith
181,Bryan Spicer
182,David Anspaugh
183,Anthony Waller
184,Michael Almereyda
186,Chris Columbus
188,John Frankenheimer
189,Norman RenÃ©
190,Todd Haynes
191,Roland JoffÃ©
193,Paul Verhoeven
194,Wayne Wang
195,Lasse HallstrÃ¶m
196,Roger Donaldson
197,James Keach
198,Kathryn Bigelow
199,Jacques Demy
200,Wesley Strick
201,Martha Coolidge
202,Agnieszka Holland
203,The Baroness Kidron
204,Geoff Murphy
205,Diane Keaton
207,Alfonso Arau
208,Kevin Reynolds
209,Desmond Nakano
211,Mike Figgis biography and credits
212,Greg Beeman
213,Nikita Mikhalkov
215,Richard Linklater
216,Tamra Davis
218,Herbert Ross
219,Kiyoshi Kurosawa
220,Stuart Gordon
222,Pat O'Connor
223,Kevin Smith
224,Jeremy Leven
227,John Badham
230,Taylor Hackford
231,Peter Farrelly
233,Atom Egoyan
234,Garry Marshall
235,Tim Burton
236,Lawrence Kasdan
237,Billy Crystal
238,Phillip Borsos
239,Kevin Lima
242,GÃ©rard Corbiau
244,Art Clokey
245,Charles Burnett
246,Steve James
247,Sir Peter Jackson
248,Randall Miller
251,Charles Crichton
252,Fred Schepisi
254,James Ivory
256,(OC)
257,Arne Glimcher
258,Michael Gottlieb
259,Barbet Schroeder
260,George Lucas
261,Gillian Armstrong
263,Ken Loach
265,Alfonso Arau
267,Nick Castle
270,Glenn Gordon Caron
271,Stephen Gyllenhaal
272,Nicholas Hytner
273,Kenneth Branagh
274,James Joseph Orr
275,James Parrott
276,Richard Benjamin
277,Les Mayfield
278,David Frankel
281,Robert Benton
282,Michael Apted
283,Nicholas Gomez
286,Albert Pyun
288,Oliver Stone
289,Norman Jewison
291,Anne Goursaud
292,Wolfgang Petersen
294,Mira Nair
295,Joshua Brand
296,Quentin Tarantino
297,Blake Edwards
298,Ang Lee
299,Antonia Bird biography and filmography
300,Robert Redford
301,Kayo Hatta
304,Peter Yates
309,He Ping
310,Fred Gerber
311,George Mihalka
313,Richard Rich
314,John Sayles
315,Luis Llosa
316,Roland Emmerich
319,Danny Boyle biography and credits
320,David Siegel
322,George Huang
324,Kevin Dowling
325,Kelly Makin
326,Zhang Yimou
327,Rachel Talalay
329,David Carson
330,Rusty Cundieff
334,Louis Malle
336,Preston A. Whitmore II
337,Lasse HallstrÃ¶m
338,Brett Leonard
340,Jon Avnet
341,Mina Shum
343,Melanie Mayron
344,Tom Shadyac
345,Stephan Elliott
346,Iain Softley
348,Woody Allen
349,Phillip Noyce
350,Joel Schumacher
351,Jessie Nelson
352,Spike Lee
353,Alex Proyas
354,Ron Shelton
356,Robert Zemeckis
357,Mike Newell
358,John Singleton
359,Darnell Martin
365,Bernardo Bertolucci
366,Wes Craven
368,Richard Donner
369,Alan Rudolph
372,Ben Stiller
373,John Dahl
375,Robert Allan Ackerman
376,Elia Kazan
377,Jan de Bont
379,Peter Hyams
380,James Cameron
381,Luis Mandoki
382,Mike Nichols
383,Lawrence Kasdan
384,Damian Harris
385,The Cazalets
386,Jefery Levy
390,Russ Meyer
391,Doug McHenry
393,Steven E. de Souza
394,Wallace Wolodarsky
396,Paul Warner
398,Theodore Thomas
401,Edward Dmytryk
405,Andy Morahan
408,John G. Avildsen
409,Jeff Pollack
410,Barry Sonnenfeld
411,Thomas Schlamme
412,Martin Scorsese
413,Michael Lehmann
414,Paul Michael Glaser
415,John Badham
417,Whit Stillman
418,Bill Forsyth biography and filmography
419,Penelope Spheeris
420,John Landis
421,Caroline Thompson
422,Michael Apted
424,William Friedkin
426,Abel Ferrara
427,Jennifer Lynch
428,Robert De Niro
429,Adam Resnick
431,Brian De Palma
432,Paul Weiland
434,Renny Harlin
435,Steve Barron
436,Richard Rush
438,Gregg Champion
440,(OC)
442,Marco Brambilla
444,Gus Van Sant
445,Carl Reiner
446,Chen Kaige
448,(AM)
449,Rusty Cundieff
450,Alek Keshishian
451,Steve Kloves
452,John Irvin
453,Barry Sonnenfeld
455,Simon Wincer
456,Boaz Yakin
457,Andrew Davis
459,Roger Donaldson
460,Howard Deutch
461,Rose Troche
462,Bruce Beresford
463,Sidney Lumet
464,John Woo
465,Oliver Stone
466,Jim Abrahams
469,Bille August
471,Joel and Ethan Coen
472,James L. Brooks
474,Wolfgang Petersen
477,Brian Gibson
478,Barry Levinson
480,Steven Spielberg
481,Dominic Sena
482,Roger Avary
483,Steven Soderbergh
484,Daniel Petrie
485,John McTiernan
486,James Lapine
487,Simon Wincer
488,David Cronenberg
491,Spencer Gordon Bennet
492,Woody Allen
493,Allen and Albert Hughes
494,Stuart Baird
495,Nagisa ÅŒshima
497,Kenneth Branagh
499,Anthony Minghella
500,Chris Columbus
501,Mike Leigh
502,Christopher Cain
503,Michael Tolkin
504,Martin Campbell
505,Robert Reiner
506,Sally Potter
507,Clint Eastwood
508,Jonathan Demme
509,Michael Haneke
510,John Singleton
511,Allison Liddi-Brown
513,Mel Smith
514,Ted Demme
515,James Ivory
516,Penny Marshall
517,Philip Kaufman
518,Alan Parker
519,Fred Dekker
520,Mel Brooks
521,Peter Medak
522,Geoffrey Wright
523,Victor Nunez
524,David Anspaugh
525,Tim Hunter
527,Steven Spielberg
528,Michael Ritchie
529,Steven Zaillian
530,Chris Menges
531,Agnieszka Holland
532,John Waters
533,E. Elias Merhige
535,Robert Altman
536,Gillies Mackinnon
538,Fred Schepisi
539,Nora Ephron
540,Phillip Noyce
541,Ridley Scott
542,Steve Rash
543,Thomas Schlamme
544,Rowdy L. Herrington
545,Eddie Murphy
546,Rocky Morton
548,Deran Sarafian
549,FranÃ§ois Girard
551,Henry Selick
552,Stephen Herek
554,Heywood Gould
555,Tony Scott
558,Joe Johnston
559,Jerry Ciccoritti
562,Todd Solondz
563,Claude Berri
564,Yngve Gamlin
565,Guillermo del Toro
566,Daniel Algrant
569,Andrew Scheinman
574,David O. Russell
575,Penelope Spheeris
577,George T. Miller
583,Nanni Moretti
585,Betty Thomas
587,Jerry Zucker
588,John Musker
589,James Cameron
590,Kevin Costner
592,Tim Burton
593,Jonathan Demme
594,Wilfred Jackson
595,Kirk Wise
596,Wilfred Jackson
597,Garry Marshall
603,Sam Weisman
606,Bill Condon
609,David R. Ellis
610,Gerald Potterton
611,Kevin Yagher
612,Matt Reeves
613,Franco Zeffirelli
614,John English
615,Franco Brusati
616,Wolfgang Reitherman
618,Fernando Trueba
621,AndrÃ© TÃ©chinÃ©
626,Martin Lawrence
627,Stacy Title
628,Gregory Hoblit
629,Clement Virgo
630,Bruno Barreto
633,Hal Salwen
636,Todd Verow
637,Jonathan Lynn
638,Tim Sullivan
639,Spike Lee
640,Jeremiah S. Chechik
645,Claude Sautet
648,Brian De Palma
653,Rob Cohen
656,Steve Rash
657,Gray Hofmeyr
659,RenÃ© ClÃ©ment
660,Anthony Hopkins
661,Henry Selick
662,James Foley
663,Kelly Makin
665,Emir Kusturica
666,Bo Widerberg
668,Satyajit Ray
673,Joe Pytka
674,Roger Vadim
679,Peter Yates
680,Jean-Luc Godard
684,Gordon Willis
685,Randal Kleiser
687,Michael Blakemore
688,Simon Wincer
691,Richard Benjamin
692,Norberto Barba
694,Vikash Dhorasoo
696,Michael Winterbottom
697,Steven Baigelman
698,Zalman King
700,Patrick Read Johnson
701,Stijn Coninx
704,Jean-Claude Van Damme
706,Steve Gomer
708,Michael Lehmann
714,Alex De Rakoff
716,Jack Hill
718,Jean-Marie PoirÃ©
720,Nick Park
724,Andrew Fleming
725,Reginald Hudlin
728,John Schlesinger
730,George Hickenlooper
731,Phil Joanou
732,Larry Cohen
736,Jan de Bont
742,Tom Holland
743,Rick Friedberg
745,Nick Park
746,Abraham Polonsky
747,John Landis
749,Robert Z. Leonard
752,John O'Brien
753,John Irvin
760,Joseph Vilsmaier
761,Ernst Laemmle
762,Andrew Bergman
764,James Mangold
766,Mary Harron
767,Charles Matthau
777,Robby Henson
778,Danny Boyle biography and credits
779,Scott Winant
781,Bernardo Bertolucci
782,Tony Scott
783,Gary Trousdale
786,Chuck Russell
788,Tom Shadyac
790,Lucian Pintilie
799,Sir Peter Jackson
800,John Sayles
802,Jon Turteltaub
803,Nicole Holofcener
805,Joel Schumacher
806,Michael Corrente
809,Kevin Hooks
810,Paul Michael Glaser
813,Howard Franklin
816,Nicolas Roeg biography and credits
818,Arlene Sanford
822,Paul Turner
823,Ã‰ric Rohmer
824,Werner Herzog
828,Steve Barron
830,Hugh Wilson
831,Nigel Finch
832,Ron Howard
834,Doug Ellin
837,Danny DeVito
841,Georges Franju
842,Gilbert Adler
846,Hal Hartley
848,Lee David Zlotoff
851,Julian Schnabel
852,Ron Shelton
853,Rolf de Heer
864,Robert Schwentke
865,Gillies Mackinnon
869,Robert Altman
870,Christopher Cain
872,Tsai Ming-liang
873,Daniel Walter Schmid
875,Steve Oedekerk
877,Jim McKay
878,Marco Ferreri
879,Peter Hyams
880,John Frankenheimer
882,David Koepp
885,Norman Jewison
891,Joe Chappelle
893,Keith Gordon
895,Henry Jaglom
896,AndrÃ© TÃ©chinÃ©
897,Sam Wood
898,George Cukor
899,Stanley Donen
900,Vincente Minnelli
901,Stanley Donen
902,Blake Edwards
903,Alfred Hitchcock
905,Frank Capra
907,Mark Sandrich
908,Alfred Hitchcock
909,George Seaton
910,George Archainbaud
912,Michael Curtiz
913,John Huston
914,George Cukor
915,Billy Wilder
918,Vincente Minnelli
920,Victor Fleming
921,Richard Benjamin
923,Orson Welles
925,Mitchell Leisen
926,Joseph L. Mankiewicz
928,Alfred Hitchcock
929,Alfred Hitchcock
930,Alfred Hitchcock
931,Alfred Hitchcock
932,Leo McCarey
933,Alfred Hitchcock
934,Vincente Minnelli
936,Ernst Lubitsch
937,Billy Wilder
939,Vincente Minnelli
942,Otto Preminger
943,Joseph L. Mankiewicz
944,Frank Capra
945,Mark Sandrich
948,George Stevens
949,Elia Kazan
950,Richard Thorpe
952,Michael Anderson
953,Clifton Ko M.H.
954,Frank Capra
957,Victor SjÃ¶strÃ¶m
968,Jeff Broadstreet
969,John Huston
980,Corey Yuen
981,Darrell Roodt
982,Joshua Logan
984,Richard Schenkman
986,Carroll Ballard
987,Ray Lawrence
988,Allison Anders
989,Joseph Vilsmaier
990,Ringo Lam
991,Neil Jordan
992,Amy Holden Jones
993,Matthew Broderick
997,Max OphÃ¼ls
999,John Herzfeld
1003,Michael Apted
1004,John Gray
1007,Norman Tokar
1008,Norman Foster
1009,John Hough
1010,Robert F. McGowan
1011,Robert Stevenson
1012,Robert Stevenson
1013,David Swift
1015,Duwayne Dunham
1016,Charles Barton
1017,Ken Annakin
1018,Robert Stevenson
1020,Jon Turteltaub
1021,William Dear
1022,Clyde Geronimi
1023,Wolfgang Reitherman
1024,Harold Young
1026,Hamilton Luske
1027,Kevin Reynolds
1028,Robert Stevenson
1029,Ben Sharpsteen
1031,Robert Stevenson
1032,Wilfred Jackson
1034,Matthew Bright
1035,Robert Wise
1036,John McTiernan
1037,Brett Leonard
1038,Nick Cassavetes
1041,Raman Hui
1042,Tom Hanks
1043,Michael Pressman
1044,James Ivory
1045,Joseph Bologna
1047,Renny Harlin
1050,Al Pacino
1051,Steve Buscemi
1052,Ismail Merchant
1053,John McNaughton
1054,Spike Lee
1055,George P. Cosmatos
1056,Michael Winterbottom
1057,Woody Allen
1060,Doug Liman
1062,Michael Cimino
1063,Scott Silver
1064,Tad Stones
1065,Anthony Asquith
1066,Mark Sandrich
1068,Edward Dmytryk
1069,Edward Dmytryk
1070,Nicholas Ray
1071,Preston Sturges
1076,Richard Wallace
1078,Woody Allen
1080,Terry Jones
1081,Matthew Diamond
1082,Michael Ritchie
1083,Blake Edwards
1084,Arthur Penn
1085,Fred Zinnemann
1086,Alfred Hitchcock
1088,Emile Ardolino
1089,Quentin Tarantino
1090,Oliver Stone
1092,Michael Caton-Jones
1093,Oliver Stone
1094,Neil Jordan
1095,James Foley
1096,Alan J. Pakula
1097,Steven Spielberg
1099,Robert Zemeckis
1100,Tony Scott
1101,Ray Nazarro
1103,Nicholas Ray
1104,Elia Kazan
1112,Alan Taylor
1114,Guy Hamilton
1115,Joe Nussbaum
1119,Lou Breslow
1120,MiloÅ¡ Forman
1124,Mark Rydell
1125,Blake Edwards
1126,Ate de Jong
1127,James Cameron
1131,Claude Berri
1132,Claude Berri
1137,Rick Castro
1143,Raoul Ruiz
1148,Nick Park
1151,Jan Å vankmajer
1153,Anthony Mann
1160,Leo McCarey
1164,Jean-Luc Godard
1167,Garry Marshall
1168,Eric Red
1170,Phillip Rhee
1172,Giuseppe Tornatore
1173,Peter Greenaway biography and credits
1179,Stephen Frears
1183,Anthony Minghella
1185,Jim Sheridan
1186,Steven Soderbergh
1187,John Sayles
1188,Baz Luhrmann
1190,Pedro AlmodÃ³var
1191,Alek Keshishian
1192,Jennie Livingston
1193,MiloÅ¡ Forman
1194,William Beaudine
1196,Irvin Kershner
1197,Robert Reiner
1198,Steven Spielberg
1199,Terry Gilliam
1200,James Cameron
1201,Sergio Leone
1203,Sidney Lumet
1204,David Lean
1207,Robert Patrick Mulligan
1208,Francis Ford Coppola
1209,Sergio Leone
1210,Richard Marquand
1212,Ron Oliver
1213,Martin Scorsese
1214,Ridley Scott
1217,Akira Kurosawa
1219,Alfred Hitchcock
1220,John Landis
1221,Francis Ford Coppola
1224,Kenneth Branagh
1225,MiloÅ¡ Forman
1226,John Ford
1227,Sergio Leone
1228,Martin Scorsese
1230,Woody Allen
1231,Philip Kaufman
1232,Hoffmanniana
1235,Hal Ashby
1236,Hal Hartley
1241,Sir Peter Jackson
1245,Joel and Ethan Coen
1246,(AM)
1248,Orson Welles
1250,David Lean
1255,Sir Peter Jackson
1256,Leo McCarey
1257,Savage Steve Holland
1258,David Seltzer
1259,Robert Reiner
1264,Jean-Jacques Beineix
1266,Clint Eastwood
1267,John Frankenheimer
1268,Allan Moyle
1269,Frank Capra
1270,Robert Zemeckis
1272,Franklin J. Schaffner
1273,Jim Jarmusch
1275,Russell Mulcahy
1276,Stuart Rosenberg
1278,Mel Brooks
1279,Jim Jarmusch
1280,Zhang Yimou
1281,Charlie Chaplin
1283,Peter Markle
1284,Howard Hawks
1285,Michael Lehmann
1288,Robert Reiner
1290,Howard Deutch
1291,Steven Spielberg
1292,Hal Ashby
1293,Lord Attenborough
1295,Philip Kaufman
1297,Martha Coolidge
1299,Roland JoffÃ©
1300,Lasse HallstrÃ¶m
1301,Fred M. Wilcox
1302,Phil Alden Robinson
1303,John Huston
1304,George Roy Hill
1305,Wim Wenders
1306,Wim Wenders
1307,Robert Reiner
1313,Larry Bishop
1317,Herb Gardner
1321,John Landis
1323,Richard Fleischer
1326,Damiano Damiani
1327,Stuart Rosenberg
1329,Paul Morrissey
1330,Fred Walton
1331,Robert Wise
1332,Daniel Myrick
1333,Alfred Hitchcock
1334,Chuck Russell
1335,Jeffrey Bloom
1336,Eric Red
1337,Robert Wise
1340,James Whale
1341,Dan Curtis
1343,Martin Scorsese
1344,J. Lee Thompson
1345,Brian De Palma
1346,Paul Schrader
1347,Samuel Bayer
1348,F. W. Murnau
1350,Richard Donner
1352,Kevin Spacey
1353,Barbra Streisand
1354,Lars von Trier
1355,Ole Bornedal
1356,Jonathan Frakes
1357,Scott Hicks
1358,Billy Bob Thornton
1359,Brian Levant
1360,Michelangelo Antonioni
1363,Penny Marshall
1367,Stephen Herek
1370,Renny Harlin
1371,Robert Wise
1372,Nicholas Meyer
1373,William Shatner
1374,Nicholas Meyer
1375,Leonard Nimoy
1376,Leonard Nimoy
1377,Tim Burton
1379,Geoff Murphy
1380,Randal Kleiser
1383,Albert Pyun
1387,Steven Spielberg
1389,Joe Alves
1391,Tim Burton
1392,Alexander Payne
1393,Cameron Crowe
1394,Joel and Ethan Coen
1395,Barry Levinson
1398,The Lord Attenborough
1399,Jerry Zaks
1401,Robert Reiner
1404,Sidney Lumet
1408,Michael Mann
1410,Robert M. Harling III
1411,Kenneth Branagh
1412,Terry George
1413,Dan Ireland
1414,Mehboob Khan
1417,Dame Jane Campion
1419,Nicolas Roeg biography and credits
1421,Jerry Garcia
1424,Spike Lee
1425,Robert Young
1426,George T. Miller
1427,Robert Butler
1430,Josef von Sternberg
1431,Dennis Dugan
1432,Thomas Carter
1433,George Pal
1434,Fritz Kiersch
1437,Andrew Birkin
1438,Roger Donaldson
1439,Peter Baldwin
1440,E. Max Frye
1441,Valentine Davies
1445,Bryan Spicer
1446,Jan SvÄ›rÃ¡k
1447,Vondie Curtis-Hall
1449,The Lord Haden-Guest
1453,Ken Kwapis
1454,Penelope Spheeris
1456,Del Lord
1457,Andy Tennant
1458,Paul Schrader
1459,Clint Eastwood
1460,Bob Spiers
1463,Carl Reiner
1464,David Lynch
1465,John Singleton
1466,Mike Newell
1468,Jeff Pollack
1471,Mark Christopher
1472,John Irvin
1473,Tamra Davis
1475,Mira Nair
1476,Betty Thomas
1479,Pier Paolo Pasolini
1480,Bille August
1482,Barry
1483,David Cronenberg
1484,Greg Mottola
1489,Mark Dindal
1495,David Winning
1496,Bernard Rose
1497,Tsui Hark
1498,Pat O'Connor
1499,Luis Llosa
1500,George Armitage
1502,Lynne Stopkewich
1503,Tom Schulman
1507,Bruce Beresford
1513,David Mirkin
1515,Mick Jackson
1516,Peter Duncan
1517,Jay Roach
1523,Kiefer Sutherland
1524,William Dieterle
1527,Luc Besson
1529,Gregg Araki
1535,Joe Mantello
1539,Kevin Allen
1541,Griffin Dunne
1542,Mark Herman
1543,Sir David Hare
1544,Steven Spielberg
1545,Jacques Doillon
1546,Steven Soderbergh
1547,Chip Rosenbloom
1550,Jonathan Lynn
1551,Caroline Thompson
1552,Simon West
1554,Peter Greenaway biography and credits
1555,Gerard Damiano
1556,Jan de Bont
1557,Lloyd Kaufman
1562,Joel Schumacher
1564,Paul Weiland
1566,John Musker
1568,Gary Nelson
1570,Shinya Tsukamoto
1573,George McCowan
1574,D. W. Griffith
1579,Jean-Luc Godard
1581,Martha Coolidge
1582,William Dear
1583,Michael Ritchie
1585,Shirley Barrett
1586,Ridley Scott
1587,John Milius
1588,Sam Weisman
1589,James Mangold
1593,Glenn Gordon Caron
1594,Neil LaBute
1595,Sam Pillsbury
1596,Mike Leigh
1597,Richard Donner
1598,Barbet Schroeder
1599,Zack Snyder
1600,Nick Cassavetes
1601,Bill Duke
1603,Guillermo del Toro
1604,Archie Mayo
1606,John Nicolella
1608,Wolfgang Petersen
1609,Kevin Reynolds
1610,John McTiernan
1611,Gus Van Sant
1613,Miguel Arteta
1617,Curtis Hanson
1619,Jean-Jacques Annaud
1621,George Tillman Jr.
1623,Robert Kurtzman
1624,Jocelyn Moorhouse
1625,Quentin Tarantino
1626,FÃ©lix EnrÃ­quez AlcalÃ¡
1627,Oliver Stone
1632,Keith Samples
1633,Victor Nunez
1635,Ang Lee
1639,Kevin Smith
1641,Peter Cattaneo
1643,John Madden
1645,Taylor Hackford
1646,Stuart Gillard
1649,Errol Morris
1650,Agnieszka Holland
1651,Guy Ferland
1652,Jim Jarmusch
1653,Andrew Niccol
1654,Charles Sturridge
1655,Joe Chappelle
1656,The Baroness Kidron
1657,James Cox
1658,Danny Boyle
1659,Morgan J. Freeman
1660,Kasi Lemmons
1661,Jeb Stuart
1662,Jim Kouf
1663,(OC)
1665,Mel Smith
1666,Robert Downey Sr.
1667,Costa-Gavras
1668,Mike Figgis biography and credits
1669,Sally Potter
1670,Michael Winterbottom
1671,Josh Pate
1672,Francis Ford Coppola
1673,Paul Thomas Anderson
1674,(AM)
1676,Paul Verhoeven
1677,Sidney Lumet
1678,Wayne Wang
1680,Peter Howitt
1681,John R. Leonetti
1682,(AM)
1683,Iain Softley
1686,Jon Avnet
1687,Michael Caton-Jones
1688,Gary Goldman
1693,Steven Spielberg
